config_id	chunk_size	usecase	spans_t	read_times(sec)	ranks
35	341774,384	1	500	0.0288	1
33	4096,384	1	500	0.0435	2
7	256,128	1	500	0.1105	3
18	1024,128	1	500	0.1166	4
5	256,96	1	500	0.1176	5
16	1024,96	1	500	0.1214	6
14	1024,64	1	500	0.1281	7
15	1024,80	1	500	0.1394	8
13	1024,48	1	500	0.1412	9
19	1024,144	1	500	0.1417	10
17	1024,112	1	500	0.1496	11
1	256,32	1	500	0.1519	12
4	256,80	1	500	0.1519	13
2	256,48	1	500	0.1526	14
6	256,112	1	500	0.1532	15
12	1024,32	1	500	0.1534	16
3	256,64	1	500	0.1558	17
20	1024,160	1	500	0.1622	18
25	4096,64	1	500	0.1661	19
27	4096,96	1	500	0.1671	20
11	1024,16	1	500	0.1678	21
21	1024,176	1	500	0.1682	22
26	4096,80	1	500	0.1686	23
24	4096,48	1	500	0.1715	24
29	4096,128	1	500	0.1743	25
23	4096,32	1	500	0.1811	26
28	4096,112	1	500	0.1826	27
9	256,160	1	500	0.1953	28
8	256,144	1	500	0.198	29
22	4096,16	1	500	0.2048	30
10	256,176	1	500	0.2054	31
31	16384,32	1	500	0.298	32
30	16384,16	1	500	0.3101	33
32	1048576,16	1	500	0.3598	34
34	332032,1	1	500	1.8136	35
35	341774,384	1	1000	0.0404	1
33	4096,384	1	1000	0.05	2
18	1024,128	1	1000	0.1213	3
16	1024,96	1	1000	0.1272	4
14	1024,64	1	1000	0.1514	5
15	1024,80	1	1000	0.156	6
17	1024,112	1	1000	0.1666	7
26	4096,80	1	1000	0.1676	8
25	4096,64	1	1000	0.1677	9
29	4096,128	1	1000	0.1723	10
7	256,128	1	1000	0.1733	11
27	4096,96	1	1000	0.1738	12
19	1024,144	1	1000	0.1792	13
28	4096,112	1	1000	0.1843	14
6	256,112	1	1000	0.1854	15
24	4096,48	1	1000	0.189	16
4	256,80	1	1000	0.1902	17
20	1024,160	1	1000	0.2033	18
21	1024,176	1	1000	0.2073	19
5	256,96	1	1000	0.256	20
23	4096,32	1	1000	0.2694	21
2	256,48	1	1000	0.2883	22
13	1024,48	1	1000	0.2907	23
3	256,64	1	1000	0.2923	24
1	256,32	1	1000	0.2954	25
9	256,160	1	1000	0.2994	26
8	256,144	1	1000	0.3004	27
11	1024,16	1	1000	0.3019	28
10	256,176	1	1000	0.3144	29
12	1024,32	1	1000	0.3209	30
22	4096,16	1	1000	0.3493	31
31	16384,32	1	1000	0.3838	32
32	1048576,16	1	1000	0.3976	33
30	16384,16	1	1000	0.4541	34
34	332032,1	1	1000	1.8447	35
35	341774,384	1	2000	0.0639	1
33	4096,384	1	2000	0.074	2
18	1024,128	1	2000	0.1401	3
27	4096,96	1	2000	0.179	4
29	4096,128	1	2000	0.1801	5
15	1024,80	1	2000	0.1861	6
26	4096,80	1	2000	0.1875	7
25	4096,64	1	2000	0.1928	8
28	4096,112	1	2000	0.1945	9
17	1024,112	1	2000	0.2008	10
16	1024,96	1	2000	0.2171	11
24	4096,48	1	2000	0.2469	12
6	256,112	1	2000	0.2607	13
19	1024,144	1	2000	0.2621	14
4	256,80	1	2000	0.27	15
20	1024,160	1	2000	0.2769	16
21	1024,176	1	2000	0.2882	17
23	4096,32	1	2000	0.2924	18
3	256,64	1	2000	0.3011	19
2	256,48	1	2000	0.3088	20
1	256,32	1	2000	0.3113	21
11	1024,16	1	2000	0.3137	22
14	1024,64	1	2000	0.3153	23
5	256,96	1	2000	0.3182	24
7	256,128	1	2000	0.3183	25
13	1024,48	1	2000	0.3327	26
12	1024,32	1	2000	0.3435	27
22	4096,16	1	2000	0.3548	28
31	16384,32	1	2000	0.3871	29
30	16384,16	1	2000	0.4574	30
8	256,144	1	2000	0.5137	31
9	256,160	1	2000	0.5234	32
10	256,176	1	2000	0.541	33
32	1048576,16	1	2000	0.5514	34
34	332032,1	1	2000	1.8575	35
35	341774,384	1	4000	0.1071	1
33	4096,384	1	4000	0.129	2
29	4096,128	1	4000	0.2103	3
27	4096,96	1	4000	0.2396	4
15	1024,80	1	4000	0.2568	5
18	1024,128	1	4000	0.2661	6
28	4096,112	1	4000	0.2761	7
17	1024,112	1	4000	0.2812	8
26	4096,80	1	4000	0.2888	9
25	4096,64	1	4000	0.3033	10
3	256,64	1	4000	0.3255	11
7	256,128	1	4000	0.3377	12
2	256,48	1	4000	0.3379	13
11	1024,16	1	4000	0.3401	14
16	1024,96	1	4000	0.346	15
5	256,96	1	4000	0.3461	16
14	1024,64	1	4000	0.3517	17
1	256,32	1	4000	0.3534	18
24	4096,48	1	4000	0.3562	19
13	1024,48	1	4000	0.3622	20
12	1024,32	1	4000	0.3737	21
22	4096,16	1	4000	0.3871	22
31	16384,32	1	4000	0.3969	23
23	4096,32	1	4000	0.4026	24
19	1024,144	1	4000	0.4172	25
6	256,112	1	4000	0.4218	26
20	1024,160	1	4000	0.4427	27
4	256,80	1	4000	0.4438	28
21	1024,176	1	4000	0.4496	29
30	16384,16	1	4000	0.4588	30
9	256,160	1	4000	0.9005	31
8	256,144	1	4000	0.9182	32
10	256,176	1	4000	0.9213	33
32	1048576,16	1	4000	1.0291	34
34	332032,1	1	4000	1.8801	35
35	341774,384	1	8000	0.1439	1
33	4096,384	1	8000	0.2269	2
29	4096,128	1	8000	0.298	3
27	4096,96	1	8000	0.3362	4
28	4096,112	1	8000	0.3744	5
3	256,64	1	8000	0.3821	6
15	1024,80	1	8000	0.3824	7
11	1024,16	1	8000	0.3888	8
2	256,48	1	8000	0.3904	9
7	256,128	1	8000	0.3925	10
26	4096,80	1	8000	0.3938	11
14	1024,64	1	8000	0.4009	12
18	1024,128	1	8000	0.4025	13
5	256,96	1	8000	0.4039	14
16	1024,96	1	8000	0.4092	15
22	4096,16	1	8000	0.4131	16
13	1024,48	1	8000	0.4191	17
17	1024,112	1	8000	0.4253	18
1	256,32	1	8000	0.4255	19
24	4096,48	1	8000	0.4308	20
12	1024,32	1	8000	0.4358	21
23	4096,32	1	8000	0.4368	22
25	4096,64	1	8000	0.4395	23
31	16384,32	1	8000	0.4406	24
30	16384,16	1	8000	0.4895	25
19	1024,144	1	8000	0.715	26
6	256,112	1	8000	0.7352	27
4	256,80	1	8000	0.7768	28
20	1024,160	1	8000	0.7905	29
21	1024,176	1	8000	0.8265	30
32	1048576,16	1	8000	1.4628	31
8	256,144	1	8000	1.616	32
10	256,176	1	8000	1.6885	33
9	256,160	1	8000	1.7313	34
34	332032,1	1	8000	1.9173	35
35	341774,384	1	65536	0.3958	1
33	4096,384	1	65536	0.6287	2
27	4096,96	1	65536	0.7689	3
18	1024,128	1	65536	0.8069	4
29	4096,128	1	65536	0.8216	5
26	4096,80	1	65536	0.8226	6
25	4096,64	1	65536	0.8256	7
16	1024,96	1	65536	0.8378	8
24	4096,48	1	65536	0.8398	9
23	4096,32	1	65536	0.8677	10
28	4096,112	1	65536	0.8774	11
31	16384,32	1	65536	0.8808	12
14	1024,64	1	65536	0.9204	13
30	16384,16	1	65536	0.923	14
13	1024,48	1	65536	0.9555	15
22	4096,16	1	65536	0.9731	16
7	256,128	1	65536	1.0438	17
12	1024,32	1	65536	1.0651	18
5	256,96	1	65536	1.1228	19
11	1024,16	1	65536	1.1728	20
3	256,64	1	65536	1.1801	21
2	256,48	1	65536	1.328	22
15	1024,80	1	65536	1.602	23
1	256,32	1	65536	1.6306	24
17	1024,112	1	65536	1.7692	25
34	332032,1	1	65536	2.4668	26
6	256,112	1	65536	2.9808	27
19	1024,144	1	65536	3.0685	28
4	256,80	1	65536	3.2805	29
21	1024,176	1	65536	3.5216	30
20	1024,160	1	65536	3.7322	31
9	256,160	1	65536	6.7452	32
32	1048576,16	1	65536	6.9602	33
10	256,176	1	65536	7.126	34
8	256,144	1	65536	7.9942	35
33	4096,384	1	1048576	3.1766	1
29	4096,128	1	1048576	5.8414	2
27	4096,96	1	1048576	6.1857	3
26	4096,80	1	1048576	6.4638	4
31	16384,32	1	1048576	6.4725	5
25	4096,64	1	1048576	6.5702	6
24	4096,48	1	1048576	6.6175	7
18	1024,128	1	1048576	6.8113	8
30	16384,16	1	1048576	6.8223	9
28	4096,112	1	1048576	7.078	10
16	1024,96	1	1048576	7.1721	11
23	4096,32	1	1048576	7.4726	12
14	1024,64	1	1048576	7.9103	13
22	4096,16	1	1048576	8.3216	14
35	341774,384	1	1048576	8.3715	15
13	1024,48	1	1048576	8.6676	16
7	256,128	1	1048576	9.9138	17
12	1024,32	1	1048576	9.9937	18
5	256,96	1	1048576	11.1261	19
11	1024,16	1	1048576	12.5097	20
3	256,64	1	1048576	12.7057	21
2	256,48	1	1048576	14.6845	22
34	332032,1	1	1048576	14.7024	23
15	1024,80	1	1048576	15.3193	24
1	256,32	1	1048576	18.9961	25
17	1024,112	1	1048576	19.6649	26
19	1024,144	1	1048576	30.7383	27
6	256,112	1	1048576	32.0223	28
4	256,80	1	1048576	32.1645	29
21	1024,176	1	1048576	38.7186	30
20	1024,160	1	1048576	40.2459	31
9	256,160	1	1048576	68.1008	32
10	256,176	1	1048576	73.5743	33
8	256,144	1	1048576	80.4869	34
32	1048576,16	1	1048576	86.7986	35
33	4096,384	1	16777216	82.3354	1
29	4096,128	1	16777216	94.2787	2
27	4096,96	1	16777216	98.9423	3
31	16384,32	1	16777216	102.9373	4
25	4096,64	1	16777216	105.5182	5
26	4096,80	1	16777216	105.8132	6
24	4096,48	1	16777216	106.6115	7
30	16384,16	1	16777216	107.6365	8
18	1024,128	1	16777216	111.5428	9
28	4096,112	1	16777216	113.6919	10
23	4096,32	1	16777216	116.9005	11
16	1024,96	1	16777216	119.4441	12
14	1024,64	1	16777216	129.6047	13
22	4096,16	1	16777216	132.4915	14
13	1024,48	1	16777216	141.29	15
35	341774,384	1	16777216	144.7014	16
12	1024,32	1	16777216	159.872	17
7	256,128	1	16777216	163.0657	18
5	256,96	1	16777216	182.7874	19
11	1024,16	1	16777216	203.8754	20
3	256,64	1	16777216	208.8813	21
34	332032,1	1	16777216	212.4022	22
2	256,48	1	16777216	242.3428	23
15	1024,80	1	16777216	278.6302	24
1	256,32	1	16777216	308.3804	25
17	1024,112	1	16777216	340.545	26
19	1024,144	1	16777216	526.2933	27
6	256,112	1	16777216	558.146	28
4	256,80	1	16777216	568.1688	29
20	1024,160	1	16777216	572.4324	30
21	1024,176	1	16777216	636.8556	31
8	256,144	1	16777216	1164.3889	32
10	256,176	1	16777216	1205.9321	33
9	256,160	1	16777216	1301.1735	34
32	1048576,16	1	16777216	1404.9163	35
14	1024,64	2	500	0.0466	1
16	1024,96	2	500	0.0472	2
