config_id	chunk_size	write_time(sec)	filesize(Gb)
1	256,32	6713.103	244.017
2	256,48	5806.870	243.785
3	256,64	5519.109	243.670
4	256,80	5842.364	253.918
5	256,96	5521.480	243.554
6	256,112	6114.623	284.242
7	256,128	5389.657	243.497
8	256,144	5695.347	273.878
9	256,160	6402.884	304.277
10	256,176	6852.829	334.679
11	1024,16	6141.593	243.670
12	1024,32	5707.806	243.497
13	1024,48	5361.350	243.439
14	1024,64	5174.224	243.410
15	1024,80	5099.107	253.525
16	1024,96	4917.826	243.382
17	1024,112	5370.135	283.912
18	1024,128	4978.414	243.367
19	1024,144	5113.749	273.766
20	1024,160	5265.034	304.164
21	1024,176	5566.922	334.562
22	4096,16	5586.108	243.410
23	4096,32	5092.430	243.367
24	4096,48	4951.739	243.353
25	4096,64	4705.617	243.345
26	4096,80	4690.480	253.475
27	4096,96	4545.226	243.338
28	4096,112	4808.156	283.869
29	4096,128	4472.804	243.335
30	16384,16	4933.086	243.345
31	16384,32	4717.664	243.335
32	1048576,16	21355.742	243.887
33	4096,384	4185.072	243.327
34	332032, 1	11501.558	243.341
35	341774, 384	4478.766	243.370
