config_id	chunk_sizes	usecase	spans_t	spans_x	spans_y	median	ranks
11	4096,4,4	4	500	4	4	0.1033	1
17	625,25,16	4	500	4	4	0.1084	2
12	4096,8,8	4	500	4	4	0.116	3
10	4096,2,2	4	500	4	4	0.1655	4
14	40000,2,2	4	500	4	4	0.2454	5
8	64,32,32	4	500	4	4	0.377	6
7	64,16,16	4	500	4	4	0.396	7
9	64,64,64	4	500	4	4	0.4567	8
3	1,796,512	4	500	4	4	1.3226	9
5	16,64,64	4	500	4	4	1.3783	10
6	16,128,128	4	500	4	4	1.4427	11
2	1,256,256	4	500	4	4	2.1068	12
4	16,32,32	4	500	4	4	3.2691	13
15	16,256,256	4	500	4	4	3.633	14
16	16,796,512	4	500	4	4	6.9518	15
18	2,100,64	4	500	4	4	7.0501	16
1	1,128,128	4	500	4	4	10.2524	17
17	625,25,16	4	500	8	8	0.1369	1
12	4096,8,8	4	500	8	8	0.1518	2
11	4096,4,4	4	500	8	8	0.2125	3
10	4096,2,2	4	500	8	8	0.2859	4
9	64,64,64	4	500	8	8	0.3428	5
8	64,32,32	4	500	8	8	0.3479	6
7	64,16,16	4	500	8	8	0.3814	7
3	1,796,512	4	500	8	8	0.4684	8
14	40000,2,2	4	500	8	8	0.5672	9
6	16,128,128	4	500	8	8	1.0521	10
5	16,64,64	4	500	8	8	1.0823	11
2	1,256,256	4	500	8	8	1.6799	12
4	16,32,32	4	500	8	8	2.0287	13
15	16,256,256	4	500	8	8	2.3572	14
18	2,100,64	4	500	8	8	6.3357	15
16	16,796,512	4	500	8	8	6.6738	16
1	1,128,128	4	500	8	8	7.0911	17
3	1,796,512	4	500	16	16	0.2074	1
17	625,25,16	4	500	16	16	0.2111	2
10	4096,2,2	4	500	16	16	0.3338	3
12	4096,8,8	4	500	16	16	0.3345	4
11	4096,4,4	4	500	16	16	0.3697	5
9	64,64,64	4	500	16	16	0.4237	6
8	64,32,32	4	500	16	16	0.4684	7
7	64,16,16	4	500	16	16	0.6291	8
14	40000,2,2	4	500	16	16	1.031	9
6	16,128,128	4	500	16	16	1.1178	10
5	16,64,64	4	500	16	16	1.2287	11
2	1,256,256	4	500	16	16	1.4981	12
15	16,256,256	4	500	16	16	1.9832	13
4	16,32,32	4	500	16	16	2.0495	14
1	1,128,128	4	500	16	16	5.549	15
18	2,100,64	4	500	16	16	5.796	16
16	16,796,512	4	500	16	16	5.9165	17
3	1,796,512	4	500	32	32	0.1674	1
10	4096,2,2	4	500	32	32	0.4017	2
17	625,25,16	4	500	32	32	0.418	3
11	4096,4,4	4	500	32	32	0.4222	4
9	64,64,64	4	500	32	32	0.5062	5
12	4096,8,8	4	500	32	32	0.5387	6
8	64,32,32	4	500	32	32	0.6811	7
7	64,16,16	4	500	32	32	0.7412	8
2	1,256,256	4	500	32	32	1.077	9
6	16,128,128	4	500	32	32	1.1869	10
14	40000,2,2	4	500	32	32	1.3531	11
5	16,64,64	4	500	32	32	1.4704	12
15	16,256,256	4	500	32	32	2.1009	13
4	16,32,32	4	500	32	32	2.2075	14
16	16,796,512	4	500	32	32	4.9768	15
1	1,128,128	4	500	32	32	5.3912	16
18	2,100,64	4	500	32	32	5.8959	17
3	1,796,512	4	500	64	64	0.1673	1
11	4096,4,4	4	500	64	64	0.576	2
12	4096,8,8	4	500	64	64	0.6869	3
14	40000,2,2	4	500	64	64	0.7503	4
10	4096,2,2	4	500	64	64	0.7756	5
17	625,25,16	4	500	64	64	0.8297	6
9	64,64,64	4	500	64	64	0.905	7
8	64,32,32	4	500	64	64	0.9601	8
7	64,16,16	4	500	64	64	0.9689	9
2	1,256,256	4	500	64	64	1.058	10
15	16,256,256	4	500	64	64	1.3999	11
6	16,128,128	4	500	64	64	1.574	12
4	16,32,32	4	500	64	64	1.8915	13
5	16,64,64	4	500	64	64	2.8315	14
