config_id	chunk_size	write_time(sec)	filesize(Gb)
1	1,128,128	1109.916	34.282
2	1,256,256	1049.388	39.080
3	1,796,512	899.957	30.369
4	16,32,32	1146.211	30.576
5	16,64,64	1013.262	31.753
6	16,128,128	991.774	34.185
7	64,16,16	1238.239	30.572
8	64,32,32	1066.894	30.532
9	64,64,64	996.968	31.743
10	4096,2,2	8200.152	31.149
11	4096,4,4	5329.064	31.109
12	4096,8,8	4481.259	31.255
14	40000,1,1	38251.365	30.372
13	40000,2,2	FAILED	FAILED
15	16,256,256	1028.493	39.065
16	16,796,512	873.410	30.367
17	625,25,16	1484.540	30.523
18	2,100,64	1100.100	30.636
