config_id	chunk_size	compression_algo	compression_level
1	4096,48	gzip	4
2	4096,48	gzip	6
3	4096,48	gzip	8
4	4096,48	blosc-blosclz	2
5	4096,48	blosc-blosclz	5
6	4096,48	blosc-blosclz	8
7	4096,48	blosc-lz4	2
8	4096,48	blosc-lz4	5
9	4096,48	blosc-lz4	8
10	4096,48	blosc-lz4hc	2
11	4096,48	blosc-lz4hc	5
12	4096,48	blosc-lz4hc	8
13	4096,48	blosc-zstd	2
14	4096,48	blosc-zstd	5
15	4096,48	blosc-zstd	8
16	4096,48	lz4	1048576
17	4096,48	lz4	33554432
18	4096,48	lz4	1073741824
19	4096,48	lzf	NA
20	4096,48	zstd	3
21	4096,48	zstd	12
22	4096,48	zstd	22
23	4096,48	zfp	NA
24	16384,32	gzip	4
25	16384,32	gzip	6
26	16384,32	gzip	8
27	16384,32	blosc-blosclz	2
28	16384,32	blosc-blosclz	5
29	16384,32	blosc-blosclz	8
30	16384,32	blosc-lz4	2
31	16384,32	blosc-lz4	5
32	16384,32	blosc-lz4	8
33	16384,32	blosc-lz4hc	2
34	16384,32	blosc-lz4hc	5
35	16384,32	blosc-lz4hc	8
36	16384,32	blosc-zstd	2
37	16384,32	blosc-zstd	5
38	16384,32	blosc-zstd	8
39	16384,32	lz4	1048576
40	16384,32	lz4	33554432
41	16384,32	lz4	1073741824
42	16384,32	lzf	NA
43	16384,32	zstd	3
44	16384,32	zstd	12
45	16384,32	zstd	22
46	16384,32	zfp	NA
47	332032,1	gzip	4
48	332032,1	gzip	6
49	332032,1	gzip	8
50	332032,1	blosc-blosclz	2
51	332032,1	blosc-blosclz	5
52	332032,1	blosc-blosclz	8
53	332032,1	blosc-lz4	2
54	332032,1	blosc-lz4	5
55	332032,1	blosc-lz4	8
56	332032,1	blosc-lz4hc	2
57	332032,1	blosc-lz4hc	5
58	332032,1	blosc-lz4hc	8
59	332032,1	blosc-zstd	2
60	332032,1	blosc-zstd	5
61	332032,1	blosc-zstd	8
62	332032,1	lz4	1048576
63	332032,1	lz4	33554432
64	332032,1	lz4	1073741824
65	332032,1	lzf	NA
66	332032,1	zstd	3
67	332032,1	zstd	12
68	332032,1	zstd	22
69	332032,1	zfp	NA
70	341774,384	gzip	4
71	341774,384	gzip	6
72	341774,384	gzip	8
73	341774,384	blosc-blosclz	2
74	341774,384	blosc-blosclz	5
75	341774,384	blosc-blosclz	8
76	341774,384	blosc-lz4	2
77	341774,384	blosc-lz4	5
78	341774,384	blosc-lz4	8
79	341774,384	blosc-lz4hc	2
80	341774,384	blosc-lz4hc	5
81	341774,384	blosc-lz4hc	8
82	341774,384	blosc-zstd	2
83	341774,384	blosc-zstd	5
84	341774,384	blosc-zstd	8
85	341774,384	lz4	1048576
86	341774,384	lz4	33554432
87	341774,384	lz4	1073741824
88	341774,384	lzf	NA
89	341774,384	zstd	3
90	341774,384	zstd	12
91	341774,384	zstd	22
92	341774,384	zfp	NA
93	332032,1	uncompressed	NA
94	16384,32	uncompressed	NA
95	341774,384	uncompressed	NA
96	4096,48	uncompressed	NA
