compression_algo	compression_level	chunk(16384,32)	chunk(332032,1)	chunk(341774, 384)	chunk(4096,48)
uncompressed	N/A	1	1	1	1
blosc-blosclz	2	1.000	1.073	1.000	1.000
blosc-blosclz	5	1.046	1.506	1.000	1.034
blosc-blosclz	8	1.117	1.509	1.000	1.107
blosc-lz4	2	1.168	1.345	1.128	1.163
blosc-lz4	5	1.071	1.481	1.036	1.060
blosc-lz4	8	1.073	1.550	1.027	1.060
blosc-lz4hc	2	1.465	1.653	1.418	1.455
blosc-lz4hc	5	1.632	1.992	1.556	1.604
blosc-lz4hc	8	1.641	2.144	1.558	1.610
blosc-zstd	2	2.007	2.525	1.925	1.989
blosc-zstd	5	2.083	2.711	1.974	2.047
blosc-zstd	8	2.144	N/A	2.022	2.102
gzip	4	2.074	2.705	1.980	2.043
gzip	6	2.024	2.658	1.931	1.994
gzip	8	2.034	N/A	1.938	2.003
lz4	1048576	1.225	1.636	1.160	1.209
lz4	33554432	1.225	1.636	1.161	1.209
lz4	1073741824	1.225	1.636	1.161	1.209
lzf	N/A	1.300	1.814	1.236	1.288
zstd	3	2.045	2.699	1.937	2.032
zstd	12	2.170	2.816	2.095	2.101
zstd	22	N/A	N/A	N/A	N/A
