config_id	chunk_size	compression_algo	c_level	usecase	spans_t	read_times(sec)	ranks	compromises
96	341774, 384	uncompressed	NA	1	500	0.0267	1	1
1	4096,48	gzip	4	1	500	0.1395	2	5.224719101
93	4096,48	uncompressed	NA	1	500	0.1475	3	5.524344569
13	4096,48	blosc-zstd	2	1	500	0.1616	4	6.052434457
21	4096,48	zstd	12	1	500	0.1629	5	6.101123596
15	4096,48	blosc-zstd	8	1	500	0.1671	6	6.258426966
2	4096,48	gzip	6	1	500	0.1677	7	6.280898876
20	4096,48	zstd	3	1	500	0.1686	8	6.314606742
3	4096,48	gzip	8	1	500	0.1716	9	6.426966292
14	4096,48	blosc-zstd	5	1	500	0.1749	10	6.550561798
11	4096,48	blosc-lz4hc	5	1	500	0.1816	11	6.801498127
10	4096,48	blosc-lz4hc	2	1	500	0.1879	12	7.037453184
12	4096,48	blosc-lz4hc	8	1	500	0.1974	13	7.393258427
7	4096,48	blosc-lz4	2	1	500	0.1991	14	7.456928839
43	16384,32	zstd	3	1	500	0.2004	15	7.505617978
44	16384,32	zstd	12	1	500	0.2012	16	7.535580524
38	16384,32	blosc-zstd	8	1	500	0.2018	17	7.558052434
5	4096,48	blosc-blosclz	5	1	500	0.2058	18	7.707865169
37	16384,32	blosc-zstd	5	1	500	0.2061	19	7.719101124
17	4096,48	lz4	33554432	1	500	0.2075	20	7.771535581
6	4096,48	blosc-blosclz	8	1	500	0.208	21	7.790262172
19	4096,48	lzf	NA	1	500	0.208	22	7.790262172
36	16384,32	blosc-zstd	2	1	500	0.2083	23	7.801498127
8	4096,48	blosc-lz4	5	1	500	0.2161	24	8.093632959
9	4096,48	blosc-lz4	8	1	500	0.2161	25	8.093632959
4	4096,48	blosc-blosclz	2	1	500	0.2185	26	8.183520599
35	16384,32	blosc-lz4hc	8	1	500	0.2186	27	8.187265918
18	4096,48	lz4	1073741824	1	500	0.2197	28	8.228464419
16	4096,48	lz4	1048576	1	500	0.2309	29	8.647940075
34	16384,32	blosc-lz4hc	5	1	500	0.2402	30	8.996254682
41	16384,32	lz4	1073741824	1	500	0.2445	31	9.157303371
39	16384,32	lz4	1048576	1	500	0.2523	32	9.449438202
33	16384,32	blosc-lz4hc	2	1	500	0.2547	33	9.539325843
42	16384,32	lzf	NA	1	500	0.257	34	9.625468165
30	16384,32	blosc-lz4	2	1	500	0.2581	35	9.666666667
94	16384,32	uncompressed	NA	1	500	0.2732	36	10.23220974
40	16384,32	lz4	33554432	1	500	0.2764	37	10.35205993
32	16384,32	blosc-lz4	8	1	500	0.2931	38	10.97752809
26	16384,32	gzip	8	1	500	0.2965	39	11.10486891
31	16384,32	blosc-lz4	5	1	500	0.2969	40	11.11985019
24	16384,32	gzip	4	1	500	0.306	41	11.46067416
25	16384,32	gzip	6	1	500	0.306	42	11.46067416
27	16384,32	blosc-blosclz	2	1	500	0.3968	43	14.86142322
28	16384,32	blosc-blosclz	5	1	500	0.4142	44	15.51310861
29	16384,32	blosc-blosclz	8	1	500	0.4557	45	17.06741573
95	332032, 1	uncompressed	NA	1	500	0.5254	46	19.67790262
58	332032,1	blosc-lz4hc	8	1	500	0.57	47	21.34831461
54	332032,1	blosc-lz4	5	1	500	0.5744	48	21.51310861
57	332032,1	blosc-lz4hc	5	1	500	0.5931	49	22.21348315
55	332032,1	blosc-lz4	8	1	500	0.6091	50	22.81273408
64	332032,1	lz4	1073741824	1	500	0.6403	51	23.98127341
67	332032,1	zstd	12	1	500	0.642	52	24.04494382
50	332032,1	blosc-blosclz	2	1	500	0.6624	53	24.80898876
62	332032,1	lz4	1048576	1	500	0.6684	54	25.03370787
63	332032,1	lz4	33554432	1	500	0.6686	55	25.0411985
66	332032,1	zstd	3	1	500	0.6764	56	25.33333333
53	332032,1	blosc-lz4	2	1	500	0.6871	57	25.7340824
51	332032,1	blosc-blosclz	5	1	500	0.6961	58	26.07116105
52	332032,1	blosc-blosclz	8	1	500	0.6975	59	26.12359551
60	332032,1	blosc-zstd	5	1	500	0.6983	60	26.15355805
56	332032,1	blosc-lz4hc	2	1	500	0.7219	61	27.03745318
59	332032,1	blosc-zstd	2	1	500	0.7539	62	28.23595506
65	332032,1	lzf	NA	1	500	0.7725	63	28.93258427
47	332032,1	gzip	4	1	500	1.1591	64	43.41198502
48	332032,1	gzip	6	1	500	1.3229	65	49.54681648
90	341774384	zstd	12	1	500	2.1581	66	80.82771536
89	341774384	zstd	3	1	500	2.21	67	82.77153558
79	341774384	blosc-lz4hc	2	1	500	2.3371	68	87.53183521
71	341774384	gzip	6	1	500	2.5035	69	93.76404494
76	341774384	blosc-lz4	2	1	500	2.943	70	110.2247191
72	341774384	gzip	8	1	500	3.0105	71	112.752809
73	341774384	blosc-blosclz	2	1	500	3.1062	72	116.3370787
77	341774384	blosc-lz4	5	1	500	3.1155	73	116.6853933
75	341774384	blosc-blosclz	8	1	500	3.134	74	117.3782772
78	341774384	blosc-lz4	8	1	500	3.2063	75	120.0861423
83	341774384	blosc-zstd	5	1	500	3.627	76	135.8426966
82	341774384	blosc-zstd	2	1	500	3.6998	77	138.5692884
70	341774384	gzip	4	1	500	3.8006	78	142.3445693
84	341774384	blosc-zstd	8	1	500	3.8836	79	145.4531835
81	341774384	blosc-lz4hc	8	1	500	4.4645	80	167.2097378
