config_id	chunk_size	compression_algo	compression_level	write_time(sec)	filesize(Gb)
1	4096,48	gzip	4	6165.683	119.116
2	4096,48	gzip	6	22966.348	122.028
3	4096,48	gzip	8	33979.334	121.483
4	4096,48	blosc-blosclz	2	917.543	243.362
5	4096,48	blosc-blosclz	5	965.292	235.356
6	4096,48	blosc-blosclz	8	1394.774	219.849
7	4096,48	blosc-lz4	2	1416.367	209.182
8	4096,48	blosc-lz4	5	1159.129	229.468
9	4096,48	blosc-lz4	8	1105.282	229.669
10	4096,48	blosc-lz4hc	2	4490.851	167.256
11	4096,48	blosc-lz4hc	5	12663.980	151.742
12	4096,48	blosc-lz4hc	8	13248.367	151.167
13	4096,48	blosc-zstd	2	3512.335	122.320
14	4096,48	blosc-zstd	5	10041.879	118.864
15	4096,48	blosc-zstd	8	22875.440	115.757
16	4096,48	lz4	1048576	1552.019	201.359
17	4096,48	lz4	33554432	1478.327	201.359
18	4096,48	lz4	1073741824	1472.784	201.359
19	4096,48	lzf	NA	1571.206	188.870
20	4096,48	zstd	3	3605.330	119.787
21	4096,48	zstd	12	8522.038	115.827
22	4096,48	zstd	22	FAILED	FAILED
23	4096,48	zfp	NA	FAILED	FAILED
24	16384,32	gzip	4	6115.189	117.321
25	16384,32	gzip	6	23707.883	120.225
26	16384,32	gzip	8	35389.874	119.634
27	16384,32	blosc-blosclz	2	978.880	243.366
28	16384,32	blosc-blosclz	5	1034.264	232.686
29	16384,32	blosc-blosclz	8	1390.534	217.868
30	16384,32	blosc-lz4	2	1402.486	208.264
31	16384,32	blosc-lz4	5	1146.495	227.299
32	16384,32	blosc-lz4	8	1164.749	226.817
33	16384,32	blosc-lz4hc	2	4530.404	166.076
34	16384,32	blosc-lz4hc	5	12263.516	149.082
35	16384,32	blosc-lz4hc	8	14232.694	148.305
36	16384,32	blosc-zstd	2	3492.526	121.271
37	16384,32	blosc-zstd	5	10709.750	116.822
38	16384,32	blosc-zstd	8	26006.061	113.509
39	16384,32	lz4	1048576	1533.408	198.660
40	16384,32	lz4	33554432	1573.906	198.660
41	16384,32	lz4	1073741824	1573.175	198.660
42	16384,32	lzf	NA	1645.277	187.217
43	16384,32	zstd	3	3665.066	118.976
44	16384,32	zstd	12	11028.380	112.135
45	16384,32	zstd	22	FAILED	FAILED
46	16384,32	zfp	NA	FAILED	FAILED
47	332032,1	gzip	4	9595.359	89.952
48	332032,1	gzip	6	29154.919	91.534
49	332032,1	gzip	8	FAILED	FAILED
50	332032,1	blosc-blosclz	2	4080.653	226.772
51	332032,1	blosc-blosclz	5	4392.414	161.623
52	332032,1	blosc-blosclz	8	4411.945	161.301
53	332032,1	blosc-lz4	2	4224.252	180.911
54	332032,1	blosc-lz4	5	4196.661	164.342
55	332032,1	blosc-lz4	8	4229.603	157.020
56	332032,1	blosc-lz4hc	2	6840.405	147.182
57	332032,1	blosc-lz4hc	5	14408.360	122.171
58	332032,1	blosc-lz4hc	8	36592.520	113.501
59	332032,1	blosc-zstd	2	5771.320	96.376
60	332032,1	blosc-zstd	5	17181.716	89.748
61	332032,1	blosc-zstd	8	FAILED	FAILED
62	332032,1	lz4	1048576	4237.563	148.773
63	332032,1	lz4	33554432	4231.980	148.773
64	332032,1	lz4	1073741824	4269.280	148.773
65	332032,1	lzf	NA	4141.805	134.158
66	332032,1	zstd	3	5934.172	90.153
67	332032,1	zstd	12	16954.705	86.419
68	332032,1	zstd	22	FAILED	FAILED
69	332032,1	zfp	NA	FAILED	FAILED
70	341774,384	gzip	4	6462.636	122.900
71	341774,384	gzip	6	23951.621	126.011
72	341774,384	gzip	8	32588.910	125.609
73	341774,384	blosc-blosclz	2	1143.555	243.324
74	341774,384	blosc-blosclz	5	1050.707	243.323
75	341774,384	blosc-blosclz	8	1038.536	243.292
76	341774,384	blosc-lz4	2	1641.254	215.721
77	341774,384	blosc-lz4	5	1349.490	234.929
78	341774,384	blosc-lz4	8	1376.489	236.943
79	341774,384	blosc-lz4hc	2	4930.672	171.644
80	341774,384	blosc-lz4hc	5	12945.425	156.423
81	341774,384	blosc-lz4hc	8	13556.658	156.209
82	341774,384	blosc-zstd	2	3741.718	126.449
83	341774,384	blosc-zstd	5	10230.853	123.269
84	341774,384	blosc-zstd	8	23190.229	120.331
85	341774,384	lz4	1048576	1701.486	209.788
86	341774,384	lz4	33554432	1701.313	209.586
87	341774,384	lz4	1073741824	1629.834	209.580
88	341774,384	lzf	NA	1772.355	196.934
89	341774,384	zstd	3	3723.679	125.636
90	341774,384	zstd	12	16441.423	116.141
91	341774,384	zstd	22	FAILED	FAILED
92	341774,384	zfp	NA	FAILED	FAILED
93	332032,1	uncompressed	NA	11501.558	243.341
94	16384,32	uncompressed	NA	4717.664	243.335
95	341774,384	uncompressed	NA	4478.766	243.370
96	4096,48	uncompressed	NA	4951.739	243.353
