config_id	chunk_size	compression_algo	compression_level	usecase	spans_t	spans_x	spans_y	read_times(sec)	ranks	compromises
71	4096,4,4	uncompressed	NA	4	4000	4	4	0.0781	1	1
8	1,796,512	blosc-lz4	5	4	500	64	64	0.2635	1	1
71	4096,4,4	uncompressed	NA	4	500	4	4	0.0927	1	1
71	4096,4,4	uncompressed	NA	4	4000	64	64	0.4733	1	1
51	625,25,16	blosc-blosclz	5	4	500	4	4	0.0952	2	1.026968716
5	1,796,512	blosc-blosclz	5	4	500	64	64	0.2638	2	1.00113852
62	625,25,16	lz4	1048576	4	500	4	4	0.1037	3	1.118662352
70	1,796,512	uncompressed	NA	4	4000	64	64	0.4958	2	1.047538559
50	625,25,16	blosc-blosclz	2	4	500	4	4	0.1055	4	1.138079827
12	1,796,512	blosc-lz4hc	8	4	500	64	64	0.266	3	1.009487666
47	625,25,16	gzip	4	4	500	4	4	0.1058	5	1.141316073
8	1,796,512	blosc-lz4	5	4	4000	64	64	0.5004	3	1.057257553
63	625,25,16	lz4	33554432	4	500	4	4	0.1058	6	1.141316073
19	1,796,512	lzf	NA	4	500	64	64	0.2738	4	1.039089184
53	625,25,16	blosc-lz4	2	4	500	4	4	0.1078	7	1.162891046
9	1,796,512	blosc-lz4	8	4	4000	64	64	0.5065	4	1.070145785
72	625,25,16	uncompressed	NA	4	500	4	4	0.1083	8	1.16828479
6	1,796,512	blosc-blosclz	8	4	500	64	64	0.2867	5	1.088045541
37	4096,4,4	blosc-zstd	5	4	500	4	4	0.1093	9	1.179072276
6	1,796,512	blosc-blosclz	8	4	4000	64	64	0.5067	5	1.07056835
48	625,25,16	gzip	6	4	500	4	4	0.1096	10	1.182308522
70	1,796,512	uncompressed	NA	4	500	64	64	0.2871	6	1.089563567
32	4096,4,4	blosc-lz4	8	4	500	4	4	0.1096	11	1.182308522
12	1,796,512	blosc-lz4hc	8	4	4000	64	64	0.5128	6	1.083456581
43	4096,4,4	zstd	3	4	500	4	4	0.1098	12	1.184466019
10	1,796,512	blosc-lz4hc	2	4	500	64	64	0.29	7	1.10056926
58	625,25,16	blosc-lz4hc	8	4	500	4	4	0.1103	13	1.189859763
4	1,796,512	blosc-blosclz	2	4	4000	64	64	0.5176	7	1.093598141
38	4096,4,4	blosc-zstd	8	4	500	4	4	0.1104	14	1.190938511
7	1,796,512	blosc-lz4	2	4	500	64	64	0.2922	8	1.108918406
61	625,25,16	blosc-zstd	8	4	500	4	4	0.1106	15	1.193096009
5	1,796,512	blosc-blosclz	5	4	4000	64	64	0.5221	8	1.103105853
49	625,25,16	gzip	8	4	500	4	4	0.1114	16	1.201725998
