config_id	chunk_size	compression_algo	compression_level	write_time(sec)	filesize(Gb)
1	1,796,512	gzip	4	1176.645	29.733
2	1,796,512	gzip	6	1188.540	29.731
3	1,796,512	gzip	8	1182.243	29.731
4	1,796,512	blosc-blosclz	2	169.079	30.369
5	1,796,512	blosc-blosclz	5	177.143	30.369
6	1,796,512	blosc-blosclz	8	170.381	30.369
7	1,796,512	blosc-lz4	2	171.640	30.369
8	1,796,512	blosc-lz4	5	172.265	30.369
9	1,796,512	blosc-lz4	8	168.595	30.369
10	1,796,512	blosc-lz4hc	2	649.240	30.368
11	1,796,512	blosc-lz4hc	5	938.897	30.368
12	1,796,512	blosc-lz4hc	8	976.081	30.367
13	1,796,512	blosc-zstd	2	231.249	29.838
14	1,796,512	blosc-zstd	5	464.870	29.832
15	1,796,512	blosc-zstd	8	460.740	29.831
16	1,796,512	lz4	1048576	169.774	30.369
17	1,796,512	lz4	33554432	178.323	30.369
18	1,796,512	lz4	1073741824	174.701	30.369
19	1,796,512	lzf	NA	327.229	30.369
20	1,796,512	zstd	3	227.203	29.830
21	1,796,512	zstd	12	628.116	29.830
22	1,796,512	zstd	22	2223.444	29.705
23	1,796,512	zfp	NA	FAILED	FAILED
24	4096,4,4	gzip	4	21125.023	29.441
25	4096,4,4	gzip	6	21262.476	29.438
26	4096,4,4	gzip	8	21569.733	29.438
27	4096,4,4	blosc-blosclz	2	2032.195	30.427
28	4096,4,4	blosc-blosclz	5	2150.449	30.445
29	4096,4,4	blosc-blosclz	8	2091.394	30.443
30	4096,4,4	blosc-lz4	2	2665.119	30.419
31	4096,4,4	blosc-lz4	5	1920.490	30.414
32	4096,4,4	blosc-lz4	8	1999.862	30.412
33	4096,4,4	blosc-lz4hc	2	9373.959	30.400
34	4096,4,4	blosc-lz4hc	5	9292.240	30.397
35	4096,4,4	blosc-lz4hc	8	9380.364	30.397
36	4096,4,4	blosc-zstd	2	3200.361	29.474
37	4096,4,4	blosc-zstd	5	7366.192	29.481
38	4096,4,4	blosc-zstd	8	27008.996	29.484
39	4096,4,4	lz4	1048576	1898.173	30.427
40	4096,4,4	lz4	33554432	1937.276	30.427
41	4096,4,4	lz4	1073741824	2005.953	30.427
42	4096,4,4	lzf	NA	5553.739	30.518
43	4096,4,4	zstd	3	3836.307	29.478
44	4096,4,4	zstd	12	8816.259	29.471
45	4096,4,4	zstd	22	FAILED	FAILED
46	4096,4,4	zfp	NA	FAILED	FAILED
47	625,25,16	gzip	4	4347.604	29.559
48	625,25,16	gzip	6	4386.551	29.554
49	625,25,16	gzip	8	5264.409	29.553
50	625,25,16	blosc-blosclz	2	398.306	30.627
51	625,25,16	blosc-blosclz	5	351.912	30.622
52	625,25,16	blosc-blosclz	8	382.131	30.486
53	625,25,16	blosc-lz4	2	300.932	30.459
54	625,25,16	blosc-lz4	5	314.404	30.460
55	625,25,16	blosc-lz4	8	309.162	30.456
56	625,25,16	blosc-lz4hc	2	1905.306	30.441
57	625,25,16	blosc-lz4hc	5	2733.291	30.438
58	625,25,16	blosc-lz4hc	8	2805.288	30.437
59	625,25,16	blosc-zstd	2	561.929	29.589
60	625,25,16	blosc-zstd	5	1401.081	29.583
61	625,25,16	blosc-zstd	8	1413.117	29.575
62	625,25,16	lz4	1048576	328.633	30.457
63	625,25,16	lz4	33554432	307.768	30.457
64	625,25,16	lz4	1073741824	327.506	30.457
65	625,25,16	lzf	NA	936.236	30.483
66	625,25,16	zstd	3	539.485	29.576
67	625,25,16	zstd	12	1409.046	29.574
68	625,25,16	zstd	22	7618.962	29.560
69	625,25,16	zfp	NA	FAILED	FAILED
70	625,25,16	uncompressed	NA	1484.540	30.523
71	4096,4,4	uncompressed	NA	5329.064	31.109
72	1,796,512	uncompressed	NA	899.957	30.369
